latitude,longitude,price,name,summary
37.75418395,-122.4065138,$49.00 ,"Simple, new, clean accommodation",I signed a new lease and moving out of my place in SF month sooner than my current lease ends so I am subletting my place. You get a private BR&BA with a garage parking in a new apartment complex.  I will leave you a twin matters with clean linen
37.75416621,-122.4215336,$220.00 ,Spacious 2BR/2BATH w/Shared Kitchen,"Enjoy the whole main floor of our sunny 2-level flat on a quiet block close to BART, steps away from the restaurants and shops of trendy Valencia St. You'll share the kitchen but will have private use of the living and dining rooms, 2 bedrooms and 2 baths."
37.75850584,-122.4061523,$100.00 ,Private room - Victorian House in the Mission,"Awesome location in the Mission District of SF, next to Potrero Hill. The house is very well located in the sunny Mission. The BART station, Whole Foods, Safeway, Starbucks and Dolores Park are all within walking distance. It's really a beautiful Victorian house, where you'll find an easy going & friendly vibe. You'll get to live with 3 international guys (Belgium, Spain & Singapore) who take pride in being clean, are good friends and work in established Tech companies in the Bay Area."
37.75654875,-122.4220251,$117.00 ,Spacious 1BR in the Mission District,"Quiet 1 bedroom apartment, with a spacious, well lit living room located in the Mission District area. Many bars, restaurants, and stores are down the street on Valencia. Walk to Dolores Park in just a few blocks. Hop on BART or Muni after a 7 min walk. Perfect for singles, couples, or families with 1 kid. Sofa in the living room opens to a bed."
37.76005055,-122.4213524,$200.00 ,Edwardian flat in heart of Mission,"Bedroom with queen bed available.  The condo is a large and charming ground floor flat with living room, kitchen, dining room, and laundry.  Gas fireplaces and lots of period detail.  There are 3 bedrooms in the condo and two of them are occupied by mature women.  Close to BART, restaurants, theater, music and parks."
37.75949488,-122.4248737,$162.00 ,Sunny Room w/Roofdeck @Dolores Park,"Come stay in the heart of SF's best neighborhood.  Our guest bedroom has a great queen bed, faces our backyard tree & is located on a quiet street, just a short walk to the most happening Valencia Street restaurants and bars. Enjoy great views of Twin Peaks from the roofdeck."
37.76099687,-122.4131237,$230.00 ,Boutique Condo in the Mission,"Boutique condo in the heart of the vibrant Mission district. Full amenities with extras such as the fireplace for chilly nights. On sunny days enjoy the deck, nothing beats rose well into the evening sun.  We also have a large patio for BBQ."
37.75054282,-122.4165585,$173.00 ,Pretty & Relaxing Bedroom with Bathroom,"Quiet one bedroom, one bath with all the amenities.  Close to all of the great restaurants, nightlife and BART for easy access to SFO and downtown.  All the amenities you need to make the your home in SF.  We  make sure guests are comfortable and have a wonderful time -- we'll help you adjust to SF as much or as little as you need.  We're happy to help with recommendations!"
37.75628818,-122.4087377,$600.00 ,Spacious Mission Condo,"Built in 2014, this modern penthouse's 3 porches take advantage of the sunny Mission weather. Chef's kitchen and ample and open living space is available for your enjoyment and relaxation. Walk to bars and restaurants; easy BART or bus downtown."
37.75724642,-122.4093147,$250.00 ,Bright Skylight-Filled 2 Bedroom in the Mission,"Located in a residential part of the Mission district, you can call this bright two bedroom apartment home during your SF stay. Sink into comfort while enjoying views of the sky from every room -- skylights in the living room, back bedroom, stairwell, kitchen and bathroom. Great for friends or coworkers traveling together."
37.74932935,-122.4107925,$300.00 ,Charming Mission Victorian 3bd/2ba,"Bright, spacious flat in charming Mission Victorian overlooking Garfield Park. 3 bedrooms, 2 baths, 1600 sq ft (149 sq m), laundry, garden. 10 minute walk to 24th St. BART, easy access to Hwy 101, and steps from the Mission's incomparable fun."
