latitude,longitude,host_neighbourhood,price,availability_90
37.75418395,-122.4065138,Mission District,$49.00 ,0
37.75416621,-122.4215336,Mission District,$220.00 ,22
37.75850584,-122.4061523,Mission District,$100.00 ,0
37.75654875,-122.4220251,Mission District,$117.00 ,0
37.76005055,-122.4213524,Mission District,$200.00 ,0
37.75949488,-122.4248737,Mission District,$162.00 ,77
37.76099687,-122.4131237,Mission District,$230.00 ,7
37.75054282,-122.4165585,Mission District,$173.00 ,57
37.75628818,-122.4087377,Mission District,$600.00 ,0
37.75724642,-122.4093147,Mission District,$250.00 ,15
37.74932935,-122.4107925,Mission District,$300.00 ,17
37.7513531,-122.4176588,,$189.00 ,80
37.75199246,-122.4042105,,$130.00 ,53
37.76142933,-122.4193501,Mission District,$90.00 ,0
37.76652079,-122.4246601,Mission District,$95.00 ,8
37.75995514,-122.4241064,,$325.00 ,34
37.75870167,-122.42124,Mission District,$119.00 ,44
37.76147949,-122.4157135,,$134.00 ,0
37.75939066,-122.4211674,Mission District,$490.00 ,21
37.74961782,-122.4181314,Mission District,$140.00 ,90
37.75958581,-122.4100011,Mission District,$185.00 ,30
37.75560551,-122.4067193,Mission District,$550.00 ,0
37.7505213,-122.4073568,Mission District,$113.00 ,37
37.76832743,-122.4250571,Mission District,$115.00 ,83
37.76888719,-122.4240599,Mission District,$155.00 ,0
37.75134306,-122.4226501,Mission District,$45.00 ,0
37.75506955,-122.4168171,Mission District,$169.00 ,90
37.7622065,-122.4198954,Mission District,$186.00 ,1
37.753852,-122.4111577,Mission District,$77.00 ,0
37.76251893,-122.4242846,Mission District,$250.00 ,68
37.76531007,-122.4246905,Mission District,$235.00 ,0
37.76362666,-122.4253853,Mission District,$80.00 ,0
37.7681406,-122.4253676,Mission District,$300.00 ,0
37.75866765,-122.42388,Mission District,$200.00 ,3
37.76148205,-122.4092539,Mission District,$200.00 ,63
37.75399609,-122.4177063,Mission District,$125.00 ,52
37.75328433,-122.4118579,Mission District,$40.00 ,0
37.75028261,-122.4156194,Mission District,$500.00 ,0
37.75813182,-122.4141177,Mission District,$79.00 ,0
